PM10Lehen,NOXLehen,RFLehen,LTLehen,O3Lehen,PM10Rud,MOXRud,RPRud,LTRud,CORud,WG,WT,GS
642.2,77.4,83,0.1,2,251.8,67,81,0.7,0.6,2.7,153,5
336.1,47.4,81,0.3,2,244.2,133.8,78,0.9,0.77,3.7,156,5
242.7,42.5,80,0.2,2,282.3,145.9,81,0.2,0.89,2.9,166,4
201.1,41.1,82,-0.3,2,362.4,177.1,79,0.7,0.77,2.5,137,4
165.7,38.2,83,-0.5,2,281,116.7,77,0.6,0.62,1.8,144,4
120.4,34.4,80,-0.4,3,212.7,175.2,80,0.2,0.75,1.6,137,5
113.4,32.4,80,-0.5,2,229.5,161.4,80,0.1,0.74,1.9,148,4
104.5,33.7,82,-0.7,2,174.8,103.3,76,0.5,0.48,2.2,146,6
93.9,31.8,81,-0.6,3,89.8,79.7,76,0.4,0.46,2.4,145,5
87.9,29.8,81,-0.8,2,66.9,123.9,78,0.1,0.49,3.1,143,6
69,NaN,81,-0.8,4,74.5,88.8,82,-0.5,0.46,3.2,143,4
NaN,23.8,80,-0.6,10,66.3,73.8,78,-0.1,0.37,3.8,142,5
36.6,14.9,78,-0.2,24,40.7,52.5,76,0.1,0.32,4.2,144,4
59.1,25.5,80,-0.7,4,32.4,53.6,77,0,0.37,4.6,146,5
57.1,29.9,81,-1,3,32,43.5,77,0,0.33,5.2,145,4
54,28.8,80,-0.9,4,31.8,57.1,77,-0.1,0.33,4.5,144,8
52.7,27.1,81,-1,NaN,29.5,37.6,77,-0.1,0.34,5,147,21
NaN,28.1,79,-0.4,11,30.4,40.3,74,0.8,0.28,4.5,149,89
46,28.1,75,0.5,17,34.2,42.1,71,1.3,0.33,3.6,158,169
31.6,12.2,66,2.2,39,34.9,86.8,71,1.6,0.46,3.2,159,226
29.7,13.1,64,3.1,35,28.8,73.7,64,3,0.42,2.7,164,197
27.6,13.7,61,3.8,38,36.1,85.3,63,3.3,0.43,2.1,161,205
28.1,14,60,4.4,40,41.7,95.7,63,3.4,0.48,2,147,315
NaN,13.6,58,5.1,41,46.7,72,58,4.4,0.36,1.6,163,313
23.2,11.9,56,5.5,45,50.6,80.7,56,5,0.42,2.4,152,244
22.8,10.2,55,5.6,48,56.5,78.1,56,5.1,0.46,2.7,150,272
25.3,12.9,56,5.7,41,56.7,86.1,56,5.4,0.43,2.3,147,230
25.6,14.1,56,6,39,55.6,95.8,56,5.5,0.48,2,165,144
26.4,15.8,56,5.9,37,56.1,126.5,56,5.4,0.5,1.9,131,132
25.7,17.1,57,5.5,36,55.9,135.1,57,5.1,0.58,2.4,147,149
28.1,18.3,58,5.1,31,56.6,122.5,58,4.9,0.57,1.7,161,89
33.3,30.6,61,4.8,13,51.2,152.6,59,4.7,0.64,2.4,116,41
32.4,32.9,64,4,10,61.3,NaN,62,4.1,0.84,2.5,138,14
34.7,26.7,64,3.7,15,61.4,103.6,64,3.4,0.62,0.9,225,5
36.2,31.4,67,2.9,6,51,147.6,67,2.8,NaN,0.3,198,4
57.2,47.1,70,2.3,4,57.5,241.4,68,2.7,0.87,0.2,301,5
55.6,50.9,76,1.9,1,70.8,251.5,72,2.2,1.06,0.4,123,4
56.9,67.4,77,1.7,2,67.1,191.6,76,1.6,1.01,2.1,168,5
65.4,70.9,74,2,3,57,144.4,78,1.2,1,2.1,158,4
NaN,47.2,73,1.9,2,55.5,131.6,76,1.3,0.76,2.7,139,6
39.5,33.3,72,2,6,45.9,100.9,75,1.4,0.67,3,141,5
40.9,25,73,1.8,10,39.2,77.5,76,1.1,0.6,2.6,157,5
48.1,25,75,1.4,8,39.6,74.2,77,0.9,0.56,3.4,153,5
49.9,29.2,75,1.3,7,44.4,82.1,77,0.9,0.61,2.4,163,6
51,39.6,79,0.9,2,43.2,89.5,80,0.6,0.81,1.4,143,5
39.8,27.3,77,1.2,8,41.2,74.2,80,0.6,0.62,1.4,148,6
35.2,19.3,75,1.6,16,42.3,42.9,79,0.7,0.49,2.1,151,5
32.7,17.2,75,1.5,18,44.9,35.3,78,0.8,0.47,2.3,150,5
31.4,15.5,75,1.5,21,37.1,43.3,78,0.9,0.5,2.5,154,4
32.2,14.3,75,1.7,22,32.6,42,78,1,0.45,2.1,146,5
32.3,15.8,74,2,20,32.4,27.5,78,1.1,0.4,2.1,146,5
32.4,17.4,74,2,14,30.3,26.9,78,1.2,0.38,1.7,120,5
29,24.1,78,1.8,5,27.4,21.9,76,1.5,0.35,1.2,113,5
29.2,26.7,88,1.3,2,23.9,28.2,82,1.2,0.38,1.3,153,5
NaN,21.5,92,1.2,9,25,29.7,88,0.9,0.37,0.6,191,4
32.7,15.4,92,1.3,15,24.9,29.1,90,0.7,0.37,1.2,131,6
33.6,15,92,1.3,15,22.4,28.9,92,0.6,0.38,2.3,110,5
30.3,15.1,92,1.3,17,22.2,35,93,0.7,0.4,1.4,141,6
32.5,15.6,92,1.3,15,20.8,52,94,0.8,0.39,0.9,138,4
24.1,15.7,93,1.4,18,23.9,82.8,94,0.8,0.43,1.4,129,5
22.1,NaN,94,1.5,13,21.8,99.1,95,0.9,0.49,1.1,125,4
22.1,24.3,94,1.5,6,17.9,106.6,96,1,0.51,1.1,133,5
22.5,30.9,94,1.8,3,20.7,129.8,96,1,0.55,0.9,172,4
22,44.7,94,1.7,1,20.7,109,96,1.3,0.52,0.7,57,6
18.2,51.3,94,2.1,2,20.7,122.3,96,1.3,0.54,0.9,160,8
15.9,46.5,94,2.1,4,16.5,121.7,96,1.4,0.52,2,232,20
15.3,41,94,2.3,NaN,16.7,137.2,96,1.7,0.51,2.6,245,28
15.6,43.4,93,2.6,10,20.6,164.3,96,2.1,0.61,1.6,226,36
12.2,34.6,91,2.9,19,18.3,202.5,95,2.5,0.55,0.9,226,47
11.5,32.4,90,3.3,21,24.4,193,93,2.7,0.6,1.8,149,72
12.8,33.9,90,3.3,19,20.4,144.5,93,2.4,0.54,2,160,96
18.3,37.3,87,3.6,23,22.8,160.3,92,2.6,0.61,2.1,145,193
21.2,36.8,86,3.5,24,26.5,140.2,90,2.9,0.59,2.4,138,233
17.1,36.9,84,3.9,23,21.9,120.3,88,3.4,0.53,2.7,141,218
13.9,31.9,84,4.2,29,16.9,128.9,86,3.9,0.51,2.4,132,184
NaN,30.6,83,4.3,30,18.7,138.7,84,3.9,0.54,2.1,136,134
9.8,21.6,81,4,42,15.1,137.5,84,3.7,0.57,2.1,131,91
10.4,25,81,4.1,34,14.3,147.9,85,3.7,0.55,2,140,93
11.8,29.6,81,4.2,27,15.3,180.3,86,3.6,0.63,2.1,139,66
11.9,30.1,83,3.9,25,20.4,164.3,85,3.7,0.65,2.3,141,40
14.2,32.6,84,3.7,17,18.1,196.4,86,3.6,0.71,1.9,132,11
14,35.6,84,3.6,12,19.9,176.6,86,3.4,0.75,1.7,150,4
12.5,32.3,82,3.5,16,21.4,NaN,85,3.3,0.64,1.2,136,3
11.7,33.2,83,3.3,16,20.1,137.1,85,3.1,0.61,1.8,160,4
